item_id,sentence_mask,options,opt_len,opt_pos,answer,orl_options,answer_word,orl_sentence
1578_0,"['once', 'upon', 'a', 'time', ',', 'two', 'brothers', ',', 'who', 'lived', 'on', 'neighboring', 'farms', ',', 'fell', 'into', 'conflict', '.', 'it', 'was', 'the', 'first', 'serious', '[MASK]', 'in', 'their', '40', 'years', ""'"", 'brotherhood', '.']","[['distance'], ['gap'], ['routine'], ['regret']]","[1, 1, 1, 1]",24,B,"['distance', 'routine', 'regret']",gap,"Once upon a time , two brothers , who lived on neighboring farms , fell into conflict . It was the first serious [MASK] in their 40 years' brotherhood ."
1578_1,"['then', 'one', 'day', 'the', 'long', 'tie', 'fell', 'apart', '.', 'it', 'resulted', 'from', 'a', 'small', 'misunderstanding', ',', 'and', 'then', 'grew', 'into', 'a', 'major', 'difference', ',', 'and', 'eventually', 'exploded', 'into', 'an', 'exchange', 'of', '[MASK]', 'words', 'followed', 'by', 'weeks', 'of', 'silence', '.']","[['bitter'], ['acute'], ['absurd'], ['genuine']]","[1, 1, 1, 1]",32,A,"['acute', 'absurd', 'genuine']",bitter,"Then one day the long tie fell apart . It resulted from a small misunderstanding , and then grew into a major difference , and eventually exploded into an exchange of [MASK] words followed by weeks of silence ."
1578_2,"['very', 'early', 'one', 'morning', 'there', 'was', 'a', '(', 'n', ')', '[MASK]', 'on', 'the', 'elder', 'brother', ""'"", 's', 'door', '.']","[['response'], ['remark'], ['delivery'], ['knock']]","[1, 1, 1, 1]",11,D,"['response', 'remark', 'delivery']",knock,Very early one morning there was a(n) [MASK] on the elder brother's door .
1578_3,"['he', 'opened', 'it', 'to', 'find', 'a', 'man', 'with', 'a', 'carpenter', ""'"", 's', 'tool', '##box', '.', 'i', ""'"", 'm', '[MASK]', 'for', 'a', 'few', 'days', ""'"", 'work', ',', 'he', 'said', '.']","[['arranging'], ['qualifying'], ['hunting'], ['accounting']]","[1, 1, 1, 1]",19,C,"['arranging', 'qualifying', 'accounting']",hunting,"He opened it to find a man with a carpenter's toolbox . I'm [MASK] for a few days' work , he said ."
1578_4,"['perhaps', 'you', 'would', 'have', 'a', 'few', 'small', 'jobs', 'here', 'and', 'there', '.', 'could', 'i', 'help', 'you', '?', 'well', 'as', 'it', 'happens', 'there', 'is', ',', 'said', 'the', 'elder', 'brother', ',', '[MASK]', 'across', 'the', 'creek', 'to', 'his', 'brother', ""'"", 's', 'farm', '.']","[['walking'], ['leading'], ['expanding'], ['pointing']]","[1, 1, 1, 1]",30,D,"['walking', 'leading', 'expanding']",pointing,"Perhaps you would have a few small jobs here and there . Could I help you ? Well as it happens there is , said the elder brother , [MASK] across the creek to his brother's farm ."
1578_5,"['my', 'younger', 'brother', 'lives', 'there', '.', 'a', 'conflict', 'broke', 'out', 'between', 'us', 'and', 'he', 'used', 'his', 'bull', '##do', '##zer', 'to', 'dig', 'the', 'creek', 'to', '[MASK]', 'me', 'and', 'thus', 'a', 'gap', 'exists', 'between', 'us', '.']","[['resist'], ['ann', '##oy'], ['advocate'], ['concern']]","[1, 2, 1, 1]",25,B,"['resist', 'advocate', 'concern']",annoy,My younger brother lives there . A conflict broke out between us and he used his bulldozer to dig the creek to [MASK] me and thus a gap exists between us .
1578_6,"['my', 'younger', 'brother', 'lives', 'there', '.', 'a', 'conflict', 'broke', 'out', 'between', 'us', 'and', 'he', 'used', 'his', 'bull', '##do', '##zer', 'to', 'dig', 'the', 'creek', 'to', 'ann', '##oy', 'me', 'and', 'thus', 'a', 'gap', '[MASK]', 'between', 'us', '.']","[['fills'], ['narrows'], ['exists'], ['deposits']]","[1, 1, 1, 1]",32,C,"['fills', 'narrows', 'deposits']",exists,My younger brother lives there . A conflict broke out between us and he used his bulldozer to dig the creek to annoy me and thus a gap [MASK] between us .
1578_7,"['and', 'i', ""'"", 'll', 'do', 'something', 'to', '[MASK]', 'him', 'back', '.']","[['call'], ['hold'], ['bring'], ['pay']]","[1, 1, 1, 1]",8,D,"['call', 'hold', 'bring']",pay,And I'll do something to [MASK] him back .
1578_8,"['see', 'that', 'pile', 'of', 'wood', 'over', 'there', '?', 'i', 'want', 'you', 'to', 'build', 'me', 'a', '3', '-', 'metre', '-', 'high', 'fence', ',', 'so', 'i', 'won', ""'"", 't', 'need', 'to', 'see', 'him', 'or', 'his', 'place', 'anymore', '.', 'the', 'carpenter', 'said', ',', 'i', 'think', 'i', 'understand', 'the', '[MASK]', '.']","[['situation'], ['trend'], ['duty'], ['practice']]","[1, 1, 1, 1]",46,A,"['trend', 'duty', 'practice']",situation,"See that pile of wood over there ? I want you to build me a 3-metre-high fence , so I won't need to see him or his place anymore . The carpenter said , I think I understand the [MASK] ."
1578_9,"['show', 'me', 'the', 'nails', 'and', 'the', 'digger', 'and', 'i', ""'"", 'll', 'be', 'able', 'to', 'do', 'a', 'job', 'that', '[MASK]', 'you', '.']","[['strikes'], ['attracts'], ['sat', '##is', '##fies'], ['fr', '##ust', '##rates']]","[1, 1, 3, 3]",19,C,"['strikes', 'attracts', 'frustrates']",satisfies,Show me the nails and the digger and I'll be able to do a job that [MASK] you .
1578_10,"['the', 'elder', 'brother', 'had', 'to', 'go', 'to', 'town', 'for', 'supplies', ',', 'so', 'he', 'helped', 'the', 'carpenter', 'get', 'the', 'materials', 'ready', 'and', 'then', 'he', 'was', '[MASK]', 'for', 'the', 'day', '.']","[['around'], ['off'], ['over'], ['back']]","[1, 1, 1, 1]",25,B,"['around', 'over', 'back']",off,"The elder brother had to go to town for supplies , so he helped the carpenter get the materials ready and then he was [MASK] for the day ."
1578_11,"['about', 'sunset', '[MASK]', 'the', 'elder', 'brother', 'returned', ',', 'the', 'carpenter', 'had', 'just', 'finished', 'his', 'job', '.']","[['when'], ['until'], ['while'], ['since']]","[1, 1, 1, 1]",3,A,"['until', 'while', 'since']",when,"About sunset [MASK] the elder brother returned , the carpenter had just finished his job ."
1578_12,"['much', 'to', 'the', 'elder', 'brother', ""'"", 's', 'shock', ':', 'there', 'was', 'no', '[MASK]', 'there', 'at', 'all', ';', 'instead', 'there', 'was', 'a', 'bridge', ',', 'stretching', 'from', 'one', 'side', 'of', 'the', 'creek', 'to', 'the', 'other', '.']","[['room'], ['fence'], ['tool', '##box'], ['farm']]","[1, 1, 2, 1]",13,B,"['room', 'toolbox', 'farm']",fence,"Much to the elder brother's shock : there was no [MASK] there at all ; instead there was a bridge , stretching from one side of the creek to the other ."
1578_13,"['much', 'to', 'the', 'elder', 'brother', ""'"", 's', 'shock', ':', 'there', 'was', 'no', 'fence', 'there', 'at', 'all', ';', 'instead', 'there', 'was', 'a', 'bridge', ',', '[MASK]', 'from', 'one', 'side', 'of', 'the', 'creek', 'to', 'the', 'other', '.']","[['wandering'], ['ranging'], ['transporting'], ['stretching']]","[1, 1, 1, 1]",24,D,"['wandering', 'ranging', 'transporting']",stretching,"Much to the elder brother's shock : there was no fence there at all ; instead there was a bridge , [MASK] from one side of the creek to the other ."
1578_14,"['and', 'his', 'younger', 'brother', 'was', 'coming', 'across', 'the', 'bridge', '.', 'you', 'are', 'quite', 'a', 'fellow', 'to', 'build', 'this', 'bridge', 'regardless', 'of', 'all', 'i', ""'"", 've', 'said', 'and', 'done', ',', 'he', 'said', '.', 'the', 'two', 'brothers', 'then', 'met', 'in', 'the', 'middle', 'of', 'the', 'bridge', ',', 'taking', 'each', 'other', ""'"", 's', 'hand', 'and', '[MASK]', '.']","[['trembled'], ['embraced'], ['fought'], ['swore']]","[1, 1, 1, 1]",52,B,"['trembled', 'fought', 'swore']",embraced,"And his younger brother was coming across the bridge . You are quite a fellow to build this bridge regardless of all I've said and done , he said . The two brothers then met in the middle of the bridge , taking each other's hand and [MASK] ."
1578_15,"['they', 'then', 'turned', 'to', 'see', 'the', 'carpenter', '[MASK]', 'his', 'tool', '##box', 'on', 'his', 'shoulder', '.']","[['remove'], ['spread'], ['display'], ['raise']]","[1, 1, 1, 1]",8,D,"['remove', 'spread', 'display']",raise,They then turned to see the carpenter [MASK] his toolbox on his shoulder .
